     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   76.,    0.0,   0.17, -0.037, -0.025, -0.018,  0.033,  0.022,  0.025, 
   89.,    1.0,   0.40,   0.15,    0.0,  0.067,   0.20,   0.20,   0.11, 
   13.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.039, 
   16.,    1.0,   0.60,    0.0,  -0.10,  -0.10, -0.0020,    0.0, -0.042, 
   25.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.038, 
   68.,    2.0,   0.75,  -0.19,  -0.12, -0.089, -0.063,  -0.12, -0.039, 
   7.0,    2.0,   0.75,    0.0,  -0.12,  0.044, -0.063,  -0.12, -0.064, 
   60.,    4.0,   0.50,  -0.18,  -0.50,  -0.18,  -0.26,  -0.30,  -0.25, 
   87.,    1.0,   0.60,   0.10,   0.10,  0.053, -0.0020,    0.0, -0.015, 
   17.,    0.0,   0.21,  -0.11, -0.095,  -0.13, -0.014, -0.024, -0.015, 
   99.,    3.0,   0.98, -0.0035,  0.017,  0.013, 0.0062, 0.0055, 0.00013, 
   61.,    3.0,   0.96,  0.011, -0.0050, 0.0014,  0.026,  0.025,  0.016, 
   16.,    0.0,   0.22, -0.089, -0.080,  0.050, -0.023, -0.033, -0.023, 
   98.,    5.0,    2.1,   0.57,   0.67,    1.0,    2.3,    1.8,    1.2, 
   75.,    4.0,   0.25,  -0.22,  -0.25,  -0.36, -0.0040, -0.041, -0.014, 
   18.,    0.0,   0.27, -0.088, 0.0084, -0.030, -0.072, -0.082, -0.053, 
   91.,    5.0,    2.5,    1.5,   0.62,   0.85,    1.9,    1.4,   0.77, 
   89.,    5.0,    3.1,   0.43,   0.13,  -0.65,    1.3,   0.76,  -0.95, 
   79.,    0.0,   0.21,  -0.16, -0.038, -0.092, -0.0065, -0.017, -0.042, 
   88.,    2.0,   0.25,   0.12,   0.50,   0.54,   0.44,   0.38,   0.49, 
   10.,    3.0,   0.98, -0.0065, -0.0030, -0.012, 0.0032, 0.0025, -0.0025, 
   71.,    3.0,   0.99, -0.015, -0.012, -0.017, -0.0053, -0.0060, -0.011, 
   73.,    0.0,   0.20, -0.071, -0.060, -0.067, -0.0017, -0.012, -0.011, 
   22.,    0.0,   0.19, -0.013, 0.0092, 0.0044, 0.0075, -0.0030,  0.025, 
   10.,    4.0,   0.48,  -0.32,  -0.48,  -0.57,  -0.24,  -0.28,  -0.26, 
   56.,    4.0,   0.35, -0.026,  -0.33,  -0.29,  -0.10,  -0.14, -0.084, 
   89.,    1.0,   0.40,   0.15,    0.0,  0.067,   0.20,   0.20,   0.11, 
   99.,    5.0,    3.2,  -0.40,  -0.13,  -0.33,    1.1,   0.63,   -1.1, 
   96.,    3.0,    1.0, -0.0090, 0.0020, -0.00021, -0.014, -0.014, -0.0090, 
   63.,    4.0,    0.0,   0.28,   0.56, -0.031,   0.24,   0.24,   0.18, 
   53.,    2.0,   0.62,   0.19,   0.12,    1.0,  0.063,    0.0,  0.057, 
   25.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.038, 
   38.,    3.0,   0.97, -0.0057, 0.0065, -0.0023, 0.0093, 0.0085, 0.00096, 
   79.,    5.0,    2.8,  -0.67,   0.98,   0.41,    1.6,    1.1,   0.48, 
   70.,    1.0,   0.70,    0.0,    0.0,  -0.19,  -0.10,  -0.10,  0.026, 
   45.,    3.0,    1.0, -0.0050, -0.0025, -0.0013, -0.017, -0.017, 0.0016, 
   73.,    3.0,   0.97, 0.0017, -0.0015,  0.010, 0.0088, 0.0080, 0.0047, 
   10.,    4.0,   0.48,  -0.32,  -0.48,  -0.57,  -0.24,  -0.28,  -0.26, 
   85.,    1.0,   0.80,  -0.10,    0.0,  0.024,  -0.20,  -0.20, -0.048, 
   5.0,    4.0,   0.39,  -0.15, -0.046,   0.13,  -0.15,  -0.19,  -0.13, 
   5.0,    5.0,    3.6,   0.83,   0.40, -0.0097,   0.78,   0.27,  -0.36, 
   35.,    0.0,   0.27, -0.031, -0.076, -0.044, -0.066, -0.076, -0.049, 
   78.,    4.0,    0.0,   0.24,   0.30,   0.64,   0.24,   0.24,   0.23, 
