     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   98.,    2.0,  0.096,  0.089, 0.0047, -0.034, -0.017,   0.25,  0.028,  0.081,  0.028, 
   27.,    5.0,  0.011,  0.059, 0.0028, 0.0028, 0.0056, 0.0084,    0.0,   0.10,  0.034, 
   53.,    2.0,   0.25, -0.035,  0.039, -0.086,  -0.13,  -0.14,    0.0, -0.074,  -0.13, 
   21.,    0.0, 0.0061,  0.030,   0.50,   0.50,    0.0, 0.0022,    0.0,   0.13,  0.067, 
   12.,    3.0,    0.0,  0.053,  0.016,    0.0,    0.0,  0.016,    0.0,   0.11,  0.031, 
   81.,    0.0,  0.022,  0.098,   0.48,   0.48,    0.0, 0.0037,    0.0,   0.12,  0.051, 
   37.,    5.0,    1.0,  -0.81,  -0.82,  -0.84,  -0.89,  -0.89,  -0.82,  -0.90,  -0.95, 
   20.,    5.0,   0.11, -0.043, -0.094, -0.080, -0.043, -0.088, -0.0056, -0.0034, -0.068, 
   16.,    3.0,  0.031, -0.0046, -0.031, -0.031, -0.016, 0.00095,    0.0,  0.078,    0.0, 
   19.,    1.0,  0.029, 0.0032, -0.014, -0.014, -0.023, -0.015, -0.023,  0.066,  0.031, 
   89.,    0.0, 0.0054,   0.14,   0.50,   0.50,   0.11,  0.091,  0.017,   0.13,  0.067, 
   49.,    1.0,  0.014, 0.0089,  0.019,  0.019,  0.047,  0.047,  0.015,  0.081,  0.047, 
   24.,    1.0,  0.014, -0.011, 0.0017,  0.015,    0.0, 0.0038,    0.0,  0.081,  0.047, 
   62.,    2.0,  0.015,  0.099,  0.055,  0.024,  0.078,  0.039,  0.016,   0.16,   0.11, 
   72.,    4.0,  0.058,  0.023, -0.019, -0.019,    0.0, -0.019,  0.058,  0.039,    0.0, 
   13.,    0.0, 0.0081,   0.11,   0.49,   0.49,  0.018,  0.016, 0.0074,   0.13,  0.065, 
   97.,    5.0,  0.080, 0.0028, -0.023, -0.045,  0.026, -0.040,  0.057,  0.031, -0.034, 
   49.,    0.0,  0.090,  0.094,   0.21,   0.21,  0.042, -0.028,   0.10,  0.047, -0.017, 
   52.,    2.0,  0.098,  0.032, -0.0047, -0.028, -0.020, -0.040, -0.020,  0.079,  0.027, 
   32.,    2.0,  0.030,  0.083,  0.039,  0.031,   0.16,   0.11,  0.031,   0.15,  0.094, 
   98.,    5.0,   0.36,  -0.23,  -0.26,  -0.23,  -0.27,  -0.28,  -0.25,  -0.26,  -0.32, 
   65.,    4.0,  0.058,  0.023, -0.019, -0.019,  0.067, -0.019,  0.058,  0.039,    0.0, 
