     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   1.0,    3.0,   0.12,  0.064,    0.0,  0.025, -0.036, -0.094,  0.039, 
   56.,    3.0,  0.062, -0.031, -0.062, -0.059,  0.027, -0.031,  0.011, 
   36.,    2.0,  0.030,  0.047,  0.031,  0.051,   0.15,  0.094,  0.076, 
   4.0,    0.0,  0.015,   0.49, -0.0037, 0.0014,   0.23,   0.14,   0.12, 
   8.0,    5.0,   0.25,   0.12,    0.0, -5.6e-17, -0.087,  -0.12, -0.034, 
   11.,    3.0,  0.016, 5.0e-05, -0.016, -0.0066,  0.074,  0.016,  0.052, 
   32.,    3.0,   0.12,   0.20,    0.0,  0.028, -0.028, -0.086, -0.024, 
   92.,    4.0,  0.031,   0.11,    0.0,  0.047,   0.11,  0.063,   0.10, 
   96.,    3.0,   0.25,  -0.12,    0.0,  -0.11,  -0.16,  -0.22,  0.016, 
   25.,    0.0,   0.38,   0.12,    0.0,  -0.17,  -0.15,  -0.23, -0.092, 
   62.,    4.0,   0.25,  -0.19, -0.094,  -0.12,  -0.11,  -0.16,  -0.16, 
   2.0,    1.0,   0.25,    0.0,    0.0, -0.075,  -0.16,  -0.22,  0.054, 
   39.,    3.0,  0.031, -5.0e-05,    0.0, -0.0092,  0.058,    0.0,  0.042, 
   81.,    3.0,  0.031, -5.0e-05, -0.031, -0.084,  0.058,    0.0,  0.043, 
   11.,    4.0,  0.031,    0.0,    0.0, 0.0083,   0.11,  0.063,  0.061, 
   10.,    1.0,  0.029, -0.012, -0.015, -0.018,  0.059,    0.0, -0.028, 
   85.,    4.0,  0.094, -0.063,  0.031,  0.020,  0.048,    0.0,  0.037, 
   20.,    3.0,    0.0,  0.094,    0.0, 0.0072,  0.090,  0.031,  0.081, 
   94.,    0.0,  0.050,   0.45, -0.0013, -0.00011,   0.19,   0.10,   0.17, 
   8.0,    3.0,   0.25,   0.26,    0.0,    0.0,  -0.16,  -0.22,  0.018, 
   63.,    2.0,   0.12,   0.16,   0.13,  0.094,  0.056,    0.0,  0.028, 
   44.,    2.0,   0.19,  -0.10, -0.063, -0.097, -0.0071, -0.063, -0.064, 
   68.,    4.0,  0.094, -0.031,    0.0,   0.13,  0.048,    0.0,  0.011, 
   15.,    1.0,  0.014,  0.047, 0.0080,  0.011,  0.074,  0.015,   0.12, 
   23.,    4.0,   0.19, -0.016,    0.0, -0.075, -0.047, -0.094, -0.030, 
   41.,    1.0,  0.061,    0.0,    0.0, -0.0027,  0.027, -0.031,  0.075, 
