     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   42.,    1.0,   0.99, -2.2e-05,  0.013,  0.013,  0.013, 0.0055,  0.013,  -0.18,  -0.14, 
   53.,    0.0,   0.83, -0.052, -0.042, -0.042, -0.0016, -0.010,  0.032, -0.088, -0.025, 
   12.,    2.0,   0.60,  0.044, -0.046, -0.046,  -0.15,  -0.12,   0.34,  0.080,   0.11, 
   61.,    1.0,   0.97,  0.016,  0.025,  0.025,  0.015,  -0.23,  0.012,  -0.16,  -0.12, 
   43.,    1.0,   0.57,   0.28,   0.26,   0.26,   0.22,   0.22,   0.27,   0.24,   0.29, 
   15.,    1.0,   0.45,   0.24,   0.17,   0.17,   0.24,   0.19,   0.20,   0.36,   0.40, 
   14.,    2.0,   0.81,  0.010,  0.035,  0.035,  -0.11,  -0.16,  -0.33,  -0.14,  -0.12, 
   63.,    1.0,   0.97,  -0.12,  -0.11,  -0.11,  -0.11,  -0.20, -0.0081,  -0.17,  -0.12, 
   4.0,    1.0,   0.56,   0.21,   0.21,   0.21,   0.21,   0.17,   0.36,   0.25,   0.30, 
   42.,    2.0,   0.98,  -0.10,  0.018,  0.018, -0.034, -0.026, -0.014,  -0.31,  -0.29, 
   87.,    0.0,   0.84,  -0.13, -0.076, -0.076, -0.052, -0.038, -0.074,  -0.10, -0.038, 
   21.,    2.0,   0.87, -0.013,  0.053,  0.053, -0.020, -0.067, -0.024,  -0.20,  -0.17, 
   72.,    1.0,   0.70, -0.030, -0.078, -0.078,  -0.24,  -0.14,  -0.18,   0.10,   0.15, 
   81.,    0.0,   0.72,  -0.11, 0.0021, 0.0021,  0.072,  0.047,  0.014,  0.025,  0.089, 
   8.0,    0.0,   0.79,  -0.11,  -0.30,  -0.30,  -0.18,  -0.27, 0.0074, -0.045,  0.020, 
   25.,    2.0,   0.60,   0.22,   0.28,   0.28,   0.22,   0.21,   0.17,  0.074,   0.11, 
   28.,    0.0,   0.45,  0.086, -0.0048, -0.0048,   0.15,  0.071,   0.15,   0.30,   0.36, 
   49.,    0.0,   0.78,  0.091,   0.12,   0.12,   0.14,   0.14,   0.17, -0.042,  0.023, 
   12.,    1.0,   0.77, -0.020,  -0.12,  -0.12, -0.0045, -0.077,  -0.25,  0.032,  0.080, 
   71.,    2.0,    1.0,  -0.22, -0.069, -0.069,  -0.18,  -0.11,  -0.23,  -0.33,  -0.31, 
   37.,    1.0,   0.56, -0.041,  -0.20,  -0.20, -0.014, -0.090, 0.0040,   0.25,   0.30, 
   62.,    2.0,   0.83,  0.016,   0.12,   0.12,  0.060,  0.057,  0.032,  -0.16,  -0.14, 
   91.,    2.0,    1.0,  -0.26,  -0.15,  -0.15,  -0.25,  -0.17,  -0.28,  -0.33,  -0.31, 
   27.,    1.0,   0.69, -0.031, -0.068, -0.068,  -0.10, -0.048, -0.029,   0.11,   0.16, 
   10.,    1.0,   0.63,  0.075, 0.00050, 0.00050, -0.013, -0.015,  -0.17,   0.18,   0.23, 
   28.,    1.0,   0.70, -0.081,  -0.23,  -0.23, -0.092, -0.083, -0.031,   0.11,   0.16, 
   74.,    0.0,   0.57,  0.054,  -0.16,  -0.16, -0.039, -0.059,   0.14,   0.18,   0.24, 
   55.,    0.0,   0.95, -0.040,  0.032,  0.032,  0.029,  -0.22,  0.035,  -0.21,  -0.15, 
   45.,    0.0,   0.86, -0.049, -0.076, -0.076, -0.030, -0.060, -0.041,  -0.12, -0.059, 
   8.0,    2.0,   0.59, -0.0038, -0.020, -0.020, -0.062, -0.045,  0.036,  0.084,   0.12, 
   3.0,    2.0,   0.76,  0.089,   0.13,   0.13, -0.077, -0.063, 0.0020, -0.090, -0.070, 
   57.,    2.0,   0.86, -0.044,  0.019,  0.019,  -0.15,  -0.10,  -0.26,  -0.19,  -0.17, 
   25.,    0.0,   0.85,  -0.16, -0.061, -0.061, -0.096, -0.097,  -0.12,  -0.11, -0.043, 
   63.,    1.0,   0.97,  -0.12,  -0.11,  -0.11,  -0.11,  -0.20, -0.0081,  -0.17,  -0.12, 
   32.,    0.0,   0.89, -0.019,  -0.23,  -0.23,  -0.45,  -0.27,  -0.43,  -0.15, -0.084, 
   82.,    0.0,   0.84, -0.044, -0.053, -0.053, -0.0064, -0.0050, -0.016, -0.099, -0.036, 
   27.,    2.0,   0.45,   0.11,  0.035,  0.035,  0.055,  0.047, -0.041,   0.23,   0.26, 
   18.,    0.0,   0.86, -0.076, -0.074, -0.074, -0.020, -0.034, -0.0074,  -0.12, -0.057, 
   25.,    1.0,   0.93,  -0.17, -0.077, -0.077,  -0.12,  -0.13, -0.087,  -0.12, -0.076, 
   48.,    1.0,   0.88,  0.045, -0.00050, -0.00050, -0.00050, 0.0091,  0.083, -0.079, -0.033, 
   69.,    0.0,   0.86,  -0.16,  -0.25,  -0.25,  -0.19,  -0.12,  -0.34,  -0.12, -0.058, 
   13.,    2.0,   0.90,  -0.13,  0.061,  0.061,  0.061,  0.077,  -0.13,  -0.23,  -0.20, 
   62.,    0.0,   0.89, -0.059, 0.0053, 0.0053,  -0.11, -0.077, -0.047,  -0.15, -0.085, 
   72.,    1.0,   0.70, -0.030, -0.078, -0.078,  -0.24,  -0.14,  -0.18,   0.10,   0.15, 
   81.,    2.0,   0.48,   0.33,   0.28,   0.28,   0.22,   0.17,  0.077,   0.19,   0.23, 
