     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   98.,    1.0,   0.89,  -0.14, -0.0030,   0.15,  0.023,  0.019, -0.030, 
   67.,    1.0,   0.89, -0.0076, -0.031, -0.057,  0.028,  0.024, 0.0061, 
   44.,    0.0,   0.88, -0.010,  0.051,  -0.12, -0.0092, -0.016, -0.011, 
   53.,    1.0,   0.89, -0.0096,  0.076,  0.058,  0.021,  0.017,  0.026, 
   21.,    2.0,    1.0, -0.015, -0.098,  0.040,  -0.17,  -0.17, -0.073, 
   98.,    2.0,   0.65, -0.0080,  0.035,  -0.13,   0.18,   0.17,  0.045, 
   55.,    2.0,   0.77,  0.030,  -0.17,  -0.10,  0.060,  0.055, 0.0070, 
   82.,    2.0,   0.65,   0.10,   0.17,   0.24,   0.19,   0.18,   0.12, 
   65.,    1.0,   0.90, -0.025, -0.0050, -0.0086,  0.011, 0.0070, -0.0032, 
   56.,    2.0,   0.90,  -0.30,  -0.18,  -0.20, -0.066, -0.074,  -0.18, 
   7.0,    0.0,    1.0, -0.055, -0.055, -0.026,  -0.13,  -0.14, -0.074, 
   83.,    1.0,   0.81,  0.073,  0.041,   0.11,   0.10,   0.10,  0.076, 
   48.,    1.0,   0.88, -0.00050, -0.063,  -0.10,  0.029,  0.025,  0.047, 
   88.,    0.0,   0.78,  0.014,  0.074,  0.067,  0.091,  0.087,  0.038, 
   38.,    2.0,   0.83,  0.020, -0.034, -0.079, -0.00049, -0.0090, -0.014, 
   51.,    2.0,   0.82, -0.013, -0.057, -0.031,  0.016,  0.011, -0.026, 
   64.,    1.0,   0.90, -0.020, 0.0050, 0.0073,  0.016,  0.012, 0.0016, 
   74.,    1.0,   0.88, -0.0025, 0.0030, -0.075,  0.033,  0.029,  0.034, 
   77.,    2.0,   0.77, -0.068, -0.079,  -0.16,  0.068,  0.063, -0.0043, 
